equipment,model,sub_model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,captured and stripped,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,defected and captured,destroyed,destroyed in a non-combat related incident,sunk
Tanks,"Unknown T-54/55 (1, destroyed)",,the Soviet Union,1,,,,,,,,,,,1.0,,
Tanks,T-55A,,the Soviet Union,1,,,,,,1.0,,,,,,,
Tanks,T-62 Obr. 1967,,the Soviet Union,1,,,1.0,,,,,,,,,,
Tanks,T-62M,,the Soviet Union,64,,,30.0,,,5.0,,5.0,,,24.0,,
Tanks,T-62M Obr. 2022,,Russia,2,,,,,,,,,,,2.0,,
Tanks,T-62MV,,the Soviet Union,15,,,8.0,,,1.0,1.0,1.0,,,4.0,,
Tanks,T-62MV Obr. 2022,,Russia,1,,,,,,,,,,,1.0,,
Tanks,T-64A,,the Soviet Union,2,,,,,,,,,,,2.0,,
Tanks,T-64BV,,the Soviet Union,63,2.0,,4.0,,,5.0,,1.0,,,51.0,,
Tanks,T-72 'Ural',,the Soviet Union,2,,,,,,,1.0,,,,1.0,,
Tanks,T-72A,,the Soviet Union,41,1.0,,11.0,,,1.0,4.0,,,,24.0,,
Tanks,T-72AV,,the Soviet Union,12,,,3.0,,,,,1.0,,,8.0,,
Tanks,T-72B,,the Soviet Union,306,10.0,,62.0,3.0,1.0,7.0,11.0,7.0,,,205.0,,
Tanks,T-72B Obr. 1989,,the Soviet Union,92,3.0,1.0,17.0,,1.0,2.0,5.0,3.0,,,60.0,,
Tanks,T-72B Obr. 2022,,Russia,6,,,,,,,3.0,,,,3.0,,
Tanks,T-72BA,,Russia,29,,,15.0,,,2.0,,1.0,,,11.0,,
Tanks,T-72B3,,Russia,342,5.0,,73.0,2.0,,23.0,16.0,12.0,,,211.0,,
Tanks,T-72B3 Obr. 2014,,Russia,3,,,1.0,,,,,,,,2.0,,
Tanks,T-72B3 Obr. 2016,,Russia,239,2.0,3.0,93.0,,,4.0,1.0,10.0,,,126.0,,
Tanks,T-72B3 Obr. 2022,,Russia,4,,,,,,,,,,,4.0,,
Tanks,Unknown T-72,,Russia,122,1.0,,4.0,,,17.0,1.0,,,,99.0,,
Tanks,T-80B,,the Soviet Union,1,,,,,,,,,,,1.0,,
Tanks,T-80BV,,the Soviet Union,406,8.0,1.0,77.0,,,19.0,28.0,7.0,,,266.0,,
Tanks,T-80BV Obr. 2022,,Russia,7,,,,,,,1.0,,,,6.0,,
Tanks,T-80U,,Russia,94,6.0,3.0,39.0,,2.0,1.0,,5.0,,,38.0,,
Tanks,T-80UK,,Russia,2,,1.0,1.0,,,,,,,,,,
Tanks,T-80UE-1,,Russia,6,,,4.0,,,,,,,,2.0,,
Tanks,T-80UM2,,Russia,1,,,,,,,,,,,1.0,,
Tanks,T-80BVM,,Russia,98,,,28.0,1.0,1.0,5.0,2.0,4.0,,,57.0,,
Tanks,T-80BVM Obr. 2022,,Russia,5,,,,,,,1.0,,,,4.0,,
Tanks,Unknown T-80,,Russia,8,1.0,,2.0,,,1.0,,,,,4.0,,
Tanks,T-90A,,Russia,34,1.0,1.0,10.0,,,1.0,1.0,,,,20.0,,
Tanks,T-90AK,,Russia,1,,,1.0,,,,,,,,,,
Tanks,T-90S,,Russia,7,,,1.0,,,,1.0,,,,5.0,,
Tanks,T-90M,,Russia,40,,,3.0,,,7.0,7.0,,,,23.0,,
Tanks,Unknown tank,,Russia,272,4.0,,,,,24.0,9.0,,,,235.0,,
Armoured Fighting Vehicles,BMPT Terminator,,Russia,2,,,,,,1.0,,,,,1.0,,
Armoured Fighting Vehicles,BRM-1(K) reconnaissance vehicle,,the Soviet Union,25,,,9.0,,,1.0,1.0,,,,14.0,,
Armoured Fighting Vehicles,BRM-1K Obr. 2021,,Russia,2,,,1.0,,,,,,,,1.0,,
Armoured Fighting Vehicles,BRDM-2,,the Soviet Union,4,,,1.0,,,,,,,,3.0,,
Armoured Fighting Vehicles,BRDM-2M/A,,Russia,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,BRDM-2RKhb chemical reconnaissance vehicle,,the Soviet Union,2,,,2.0,,,,,,,,,,
Armoured Fighting Vehicles,BRDM-2-based ZS-82 PsyOps vehicle,,the Soviet Union,2,,,1.0,,,,,,,,1.0,,
Armoured Fighting Vehicles,BTR-80-based ZS-88 PsyOps vehicle,,the Soviet Union,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,BTR-80 with 57mm UB-32 unguided aircraft rocket pods,,the Soviet Union,1,,,,,,1.0,,,,,,,
